IntervieweeName,Intro  ,IsIrani,IsForein,Palement,Lawyer,Press,Prime,ForeignAffairs,Minister,BankEco,Bussiness,Diplomat,Military,IsProfessor,Field,University,Party,IsShahGov,IsShahOpp,PreRevolution,PostRevolution,Activist
بهمن آبادیان ,"عضو گروه سازمان برنامه و بودجه 1975
رئیس اداره بررسی های اقتصادی بانک مرکزی 1964
معاون سازمان برنامه 1969",1,,,,,,,,1,,,,,,,,1,,,,
مهدی آذر ,"فرزند حاج میرزا علی تبریزی ، روحانی و نماینده مجلس 
فارغ التحصیل دارالفنون ، دانشکده پزشکی تهران و لیون 
پزشک و استاد دانشکده پزشکی تهران 
وزیر فرهنگ (1952-1953) و سیاستمدار جبهه ملی ",1,,1,,,,,1,,,,,,پزشکی,فرانسه,جبهه ملی,1,,,,
شاهین آقایان ,"فرزند الکساندر آقایان وکیل و نماینده مجلس و وکیل دادگستری 
دوست امیرعباس هویدا ",1,,1,1,,,,,,,,,,,,,,,,,
فیلیکس آقایان ,"فرزند الکساندر آقایان وکیل و نماینده مجلس و وکیل دادگستری 
نماینده ارامنه شمال در مجلس های نوزدهم ، بیستم و بیست و یکم 
سناتور دوره های پنجم و ششم از تهران 
بازرگان و رئیس فدراسیون اسکی ",1,,1,1,,,,,,1,,,,,,,,,,,
ابوالحسن ابتهاج ,"فرزند میرزا ابراهیم خان ابتهاج الملک و برادر غلامحسین ابتهاج
ورود به بانک شاهنشاهی ایران در 1920 میلادی 
خدمت به عنوان معاون بازرس کل بانک شاهنشاهی تا زمان استعفا در 1936 میلادی 
استخدام در وزارت مالیه در 1936 به عنوان ناظر شرکت ها 
ریاست بانک رهنی 1940-1942
ریاست بانک ملی 1942-1950
سفیر ایران در فرانسه 1950-1952
مدیرعامل سازمان برنامه 1955-1959
دستگیری و زندان 1960-1961
تاسیس بانک خصوصی ایرانیان  ",1,,,,,,,,1,,,,,,,,1,,,,
امیرخسرو افشارقاسملو ,"وزیر امور خارجه 
دیپلمات و سفیر ایران در آلمان ، بریتانیا و فرانسه ",1,,,,,,1,1,,,1,,,,,,1,,,,
خسرو اقبال ,"وکیل و حقوقدان 
مشاور حقوقی شرکت ملی نفت 
صاحب امتیاز روزنامه نبرد و رهبر حزب پیکار 
برادر نخست وزیر منوچهر اقبال ",1,,,1,1,,,,,,,,,,,حزب پیکار,1,,,,
مصطفی الموتی ,"معاون نخست وزیر در کابینه منوچهر اقبال 
نماینده در دوره های بیست و بیست و چهارم مجلس شورای ملی 
نایب رئیس مجلس در دوره بیست و چهارم مجلس شورای ملی 
عضو دفتر سیاسی و هیئت اجرائیه حزب رستاخیز ",1,,1,,1,,,,,,,,,,,رستاخیز,1,,,,
علی امینی ,"نخست وزیر 
فرزند محسنخان امین الملک مالک معروف 
داماد وثوق الدوله رئیس الوزرا 
تحصیلات دانشگاهی اقتصاد و حقوق از پاریس 
وزیر اقتصاد ، سفیر ایران در امریکا ",1,,,,,1,,1,,,1,,,اقتصاد و حقوق,فرانسه,,1,,,,
نصرت الله امینی ,"ریاست بازرسی نخست وزیری در زمان محمد مصدق شهردار تهران 
وکیل شخصی محمد مصدق 
فعال سیاسی ملی گرا ",1,,,1,,,,,,,,,,,,جبهه ملی,1,,,,
صادق امیرعزیزی ,"فرمانده ژاندارمری کل کشور (1337) 
وزیر کشور در کابینه های جعفر شریف امامی 1339 ، علی امینی 1340-1341 و اسدالله علم 1341-1342
استاندار خراسان 1342-1344- 1357
نیابت تولیت آستان قدس ",1,,,,,,,1,,,,1,,,,,1,,,,
فرشته انشا ,"پزشک متخصص اطفال و استاد دانشکده پزشکی تهران 
بستگان نزدیک نخست وزیر امیرعباس هویدا ",1,,,,,,,,,,,,,پزشکی,,,,,,,
علی ایزدی ,"از کارمندان وزارت دربار 
منشی مخصوص شاهزاد اشرف پهلوی ",1,,,,,,,,,,,,,,,,,,,,
محمد باهری ,"دکترای حقوق و استاد دانشگاه حقوق تهران 
وزیر دادگستری در کابینه های اسدالله علم و جعفر شریف امامی 
معاونت اسدالله علم در وزارت دربار 
دبیرکل حزب رستاخیز ",1,,,,,,,1,,,,,1,حقوق,ایران,رستاخیز,1,,,,
شاپور بختیار ,"تحصیلات حقوق و فلسفه در فرانسه 
معاون وزارت کار 1952
رهبر جبهه ملی دوم پس از آزادی از زندان 
راه اندازی نهضت مقاومت ملی در پاریس  نخست وزیر",1,,,,,1,,,,,,,,حقوق و فلسفه,فرانسه,جبهه ملی,1,1,,,
عبدالرحمن برومند ,"بازرگان و از اعضای جبهه ملی 
معاون شاپور بختیار در نهضت مقاومت ملی 
قتل در پاریس 1991",1,,,,,,,,,1,,,,,,جبهه ملی,,1,,,
مظفر بقایی ,"فرزند میرزا شهاب الدین بقایی کرمانی نماینده مجلس شورای ملی 
نماینده مجلس شورای ملی دوره های پانزدهم و شانزدهم از کرمان و نماینده مجلس شورای ملی دوره هفدهم از تهران 
از رهبران جبهه ملی و رابطه نزدیک با محمد مصدق تا 1952
موسس لیدر حزب زحمتکشان ",1,,1,,,,,,,,,,,,,زحمتکشان,1,,,,
احمد بنی احمد ,"نماینده مجلس شورای ملی در دوره بیست و چهارم از تبریز 
روزنامه نگار 
وکیل و سیاستمدار ",1,,1,1,1,,,,,,,,,,,,1,,,,
ابوالحسن بنی صدر ,"فعال جبهه ملی سوم و از فعالین مخالف شاه در اروپا 
روابط نزدیک با آیت الله روح الله خمینی
عضو شورای انقلاب و اولین رئیس جمهوری اسلامی ایران ",1,,,,1,,,,,,,,,,,جبهه ملی,,1,,,
ابوالحسن بهنیا ,"تحصیلات در مهندسی راه سازی از فرانسه وزیر راه 
مدیرعامل بانک رهنی ",1,,,,,,,1,,,,,,مهندسی راه سازی,فرانسه,,1,,,,
ناصر پاکدامن ,"استاد اقتصاد دانشگاه تهران 
از موسسین سازمان ملی دانشگاهیان 1978 میلادی ",1,,,,,,,,,,,,1,,,,,1,,,
محمد پدرام ,دیپلمات و کارمند عالی رتبه وزارت امور خارجه ,1,,,,,,,,,,1,,,,,,1,,,,
محسن پزشکپور ,"حقوقدان و وکیل دادگستری 
نماینده مجلس شورای ملی دوره بیست و دوم و بیست و چهارم مجلس شورای ملی 
رهبر حزب پان ایرانیسم ",1,,1,1,,,,,,,,,,,,پان ایرانیسم,1,,,,
عیسی پژمان ,"عضویت در ساواک و مسئول بخش کردستان 
وابسته نظامی در عراق 1962-1963",1,,,,,,,,,,,1,,,,,1,,,,
امیر پیشداد ,"از اعضای برجسته نیروی سوم 
از بنیانگذاران جامعه سوسیالیست ها",1,,,,,,,,,,,,,,,نیروی سوم,,1,,,
شمس الدین جزایری ,"فرزند سیدحسن شوشتری روحانی 
تحصیلات دانشگاه در حقوق و اقتصاد از پاریس 
مدیر نشریه شفق 
وزیر فرهنگ 1950-1951
استاندار خراسان 
نماینده مجلس شورای ملی دوره شانزدهم از تهران ",1,,1,,1,,,1,,,,,,اقتصاد و حقوق,فرانسه,,1,,,,
کاظم جفرودی ,"از اعضای حزب مردم 
سناتور دوره پنجم 1967-1971",1,,1,,,,,,,,,,,,,حزب مردم,1,,,,
فریدون جم ,"تحصیلات نظام در فرانسه 
همسر شاهزاده شمس پهلوی 
رئیس ستاد بزرگ ارتشتاران 1969-1971
سفیر ایران در اسپانیا ",1,,,,,,,,,,,1,,نظامی,فرانسه,,1,,,,
مهدی حائری یزدی ,"فرزند آیت الله عبدالکریم حائری یزدی ، مرجع تقلید فقیه و فیلسوف 
اولین سفیر ایران در امریکا پس از انقلاب اسلامی ",1,,,,,,,,,,,,,فلسفه,آمریکا,,,,,,
کمال حبیب الهی ,"آخرین فرمانده نیروی دریایی شاهنشاهی 
وزیر فرهنگ و هنر 1978",1,,,,,,,1,,,,1,,,,,1,,,,
مهدی خان بابا تهرانی ,"اعضای حزب توده 
سازمان دهندگان جنبش دانشجویی در اروپا 
بنیانگذار جبهه دموکراتیک ملی 
کارمند بخش فارسی رادیو پکن ",1,,,,,,,,,,,,,,,توده,,,,,
مولود خانلری ,"فعال سیاسی در اروپا 
رئیس شورای عالی نهضت مقاومت ملی ",1,,,,,,,,,,,,,,,,,1,,,
ابوالقاسم خردجو,مدیرعامل بانک توسعه صنعتی و معدنی ,1,,,,,,,,1,,,,,,,,1,,,,
هادی خرسندی ,"نویسنده ، شاعر ، طنزپرداز و روزنامه نگار ",1,,,,1,,,,,,,,,,,,,,,,
پرویز خسروانی ,"فرمانده ژاندارمری استان مرکزی (تهران) 
معاون نخست وزیر و رئیس سازمان تربیت بدنی 
موسس باشگاه ورزشی تاج ",1,,,,,,,,,,,1,,,,,1,,,,
